model_version,model_kind,reducer_mode_scc,model_name,model_path,task,train_epochs,datasplit,aggregation,n_samples,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,precision_weighted,recall_macro,recall_weighted,model_kind_reducer
201,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v201.pt,cn_ad,,test,subject_majority,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,xeegnet_scc_edge
201,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v201.pt,cn_ad,,train,window,8211,0.9551820728291317,0.9538286749582363,0.9543554228872075,0.9551551412473132,0.9549208513665738,0.9551655890909158,0.9538286749582363,0.9551820728291317,xeegnet_scc_edge
201,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v201.pt,cn_ad,,train,subject_majority,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_edge
201,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v201.pt,cn_ad,,val,window,2544,0.6383647798742138,0.6362976947535771,0.6363790030500613,0.638238028162034,0.636488920287764,0.6381396767238399,0.6362976947535771,0.6383647798742138,xeegnet_scc_edge
201,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v201.pt,cn_ad,,val,subject_majority,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_edge
202,xeegnet,None,xeegnet_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v202.pt,cn_ad,,test,window,2383,0.49979018044481743,0.49803608218327544,0.497773647568693,0.4990690362374616,0.4980247181666319,0.4988600832446026,0.49803608218327544,0.49979018044481743,xeegnet
202,xeegnet,None,xeegnet_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v202.pt,cn_ad,,test,subject_majority,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,xeegnet
202,xeegnet,None,xeegnet_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v202.pt,cn_ad,,train,window,8372,0.8041089345437171,0.7941477903897851,0.796817130030419,0.8029871184647481,0.8009699634488199,0.803271875585078,0.7941477903897851,0.8041089345437171,xeegnet
202,xeegnet,None,xeegnet_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v202.pt,cn_ad,,train,subject_majority,41,0.9024390243902439,0.8909313725490196,0.8975,0.9013414634146341,0.908974358974359,0.9048155096935585,0.8909313725490196,0.9024390243902439,xeegnet
202,xeegnet,None,xeegnet_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v202.pt,cn_ad,,val,window,2527,0.7645429362880887,0.7643975269665877,0.7638386381609896,0.7638743634283062,0.7674258810828072,0.7673508602145431,0.7643975269665877,0.7645429362880887,xeegnet
202,xeegnet,None,xeegnet_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_model_v202.pt,cn_ad,,val,subject_majority,12,0.9166666666666666,0.9166666666666667,0.916083916083916,0.9160839160839161,0.9285714285714286,0.9285714285714285,0.9166666666666667,0.9166666666666666,xeegnet
202,xeegnet_scc,mean,xeegnet_scc_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v202.pt,cn_ad,,test,window,2383,0.6579941250524549,0.6569987723308779,0.6570953625698625,0.6578099524125793,0.6573373542534311,0.6577707336242156,0.6569987723308779,0.6579941250524548,xeegnet_scc_mean
202,xeegnet_scc,mean,xeegnet_scc_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v202.pt,cn_ad,,test,subject_majority,12,0.75,0.75,0.7482517482517483,0.7482517482517483,0.7571428571428571,0.7571428571428571,0.75,0.75,xeegnet_scc_mean
202,xeegnet_scc,mean,xeegnet_scc_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v202.pt,cn_ad,,train,window,8372,0.8731485905398949,0.8691350431735985,0.8696267730689886,0.8730615688872707,0.8701493770752241,0.8730039476210314,0.8691350431735985,0.8731485905398949,xeegnet_scc_mean
202,xeegnet_scc,mean,xeegnet_scc_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v202.pt,cn_ad,,train,subject_majority,41,0.9024390243902439,0.8995098039215685,0.8995098039215685,0.9024390243902439,0.8995098039215685,0.9024390243902439,0.8995098039215685,0.9024390243902439,xeegnet_scc_mean
202,xeegnet_scc,mean,xeegnet_scc_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v202.pt,cn_ad,,val,window,2527,0.817174515235457,0.8171950363939313,0.8171696765827898,0.8171670711544307,0.8172467045910184,0.8172620174846225,0.8171950363939313,0.817174515235457,xeegnet_scc_mean
202,xeegnet_scc,mean,xeegnet_scc_model_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v202.pt,cn_ad,,val,subject_majority,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_mean
202,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v202.pt,cn_ad,,test,window,2383,0.5136382710868653,0.5170914119606017,0.511651402993678,0.5103834674342097,0.5175603419279261,0.5185090722810006,0.5170914119606017,0.5136382710868653,xeegnet_scc_node
202,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v202.pt,cn_ad,,test,subject_majority,12,0.5,0.5,0.4857142857142857,0.48571428571428577,0.5,0.5,0.5,0.5,xeegnet_scc_node
202,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v202.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v202.pt,cn_ad,,train,window,8372,0.8573817486860965,0.8511837412003207,0.8528703661346833,0.8570001583475049,0.8549633401973207,0.8570045378023126,0.8511837412003207,0.8573817486860965,xeegnet_scc_node
